gene_id	short_gene_id	APA_change	pvalue	APA_type	chrom	strand	gene_name	number_of_PAS	PAS_coordinates	PAS_read_counts	PAS_PAUs	PAUs_control	PAUs_experimental	PAU_changes	P_adj	APA_trend
ENSG00000105750.15	ENSG00000105750	-0.307048984468339	0.000245181222637196	Last_exon_tandem_APA	chr19	+	ZNF85	7	20950697,20943413,20943976,20945184,20943819,20943704,20950638	99,16,15,14,5,4,4	58.24,9.41,8.82,8.24,2.94,2.35,2.35	63.89,11.11,4.63,1.85,1.85,1.85,0.93	37.1,4.84,14.52,19.35,4.84,3.23,4.84	-26.79,-6.27,9.89,17.5,2.99,1.38,3.91	0.0019931217908872	shorter
ENSG00000004399.13	ENSG00000004399	0.119633273703041	0.274444536981258	Mixed_APA	chr3	-	PLXND1	4	129555219,129555514,129569173,129568469	335,33,12,5	84.6,8.33,3.03,1.26	76.92,9.62,11.54,0	84.01,8.14,1.74,1.45	7.09,-1.48,-9.8,1.45	0.399493728086927	no change
ENSG00000146067.17	ENSG00000146067	-0.0602996561323072	0.574989027620688	Mixed_APA	chr5	-	FAM193B	2	177519788,177552892	297,16	92.52,4.98	94.35,2.42	88.83,6.6	-5.52,4.18	0.62650759892948	no change
ENSG00000198910.14	ENSG00000198910	0.156578947368421	0.102122832770522	Last_exon_tandem_APA	chrX	-	L1CAM	2	153861515,153861670	1490,42	95.03,2.68	83.33,4.17	95.2,1.97	11.87,-2.2	0.213721714442309	no change
ENSG00000087245.13	ENSG00000087245	0.0536161923461983	0.243115469631326	Last_exon_tandem_APA	chr16	+	MMP2	2	55506237,55506674	2911,143	92.62,4.55	88.85,4.09	90.19,4.87	1.34,0.78	0.36918597894234	no change
ENSG00000169760.18	ENSG00000169760	0.112208892025406	0.396042275200856	Last_exon_tandem_APA	chr3	+	NLGN1	5	174283096,174286644,174283041,174285409,174294372	56,38,13,13,6	41.48,28.15,9.63,9.63,4.44	42.31,26.92,3.85,7.69,0	41.28,28.44,11.01,10.09,5.5	-1.03,1.52,7.16,2.4,5.5	0.497528985818474	no change
ENSG00000198863.8	ENSG00000198863	0.0975783475783475	0.413577273677529	Last_exon_tandem_APA	chr17	+	RUNDC1	4	42993687,42993577,42992970,42993363	56,43,18,3	42.11,32.33,13.53,2.26	38.46,21.15,13.46,3.85	44.44,27.16,13.58,1.23	5.98,6.01,0.12,-2.62	0.509902984768335	no change
ENSG00000143553.11	ENSG00000143553	0.153439276186057	0.00778365656304547	Last_exon_tandem_APA	chr1	+	SNAPIN	2	153661830,153661406	365,45	87.32,10.77	80,9.19	91.42,3.86	11.42,-5.33	0.0337079525557489	longer
ENSG00000086300.17	ENSG00000086300	0.213240418118467	0.0065128511306204	Last_exon_tandem_APA	chr7	+	SNX10	3	26374325,26373940,26374015	143,3,3	94.08,1.97,1.97	92.86,2.86,4.29	93.9,1.22,0	1.04,-1.64,-4.29	0.0294074999119182	longer
ENSG00000198642.7	ENSG00000198642	0.0645936038427506	0.400276926000732	Last_exon_tandem_APA	chr9	-	KLHL9	3	21331018,21324051,21329670	674,12,9	93.48,1.66,1.25	91.85,5.19,1.48	93.17,0.85,1.02	1.32,-4.34,-0.46	0.500707820000082	no change
ENSG00000198873.12	ENSG00000198873	0.162068965517241	0.260431965901354	Last_exon_tandem_APA	chr10	+	GRK5	4	119455619,119455411,119459742,119455552	131,14,6,3	82.39,8.81,3.77,1.89	78.57,14.29,0,0	80.69,8.28,4.14,2.07	2.12,-6.01,4.14,2.07	0.385333679874346	no change
ENSG00000264522.6	ENSG00000264522	0.147540983606557	0.223143056995626	Last_exon_tandem_APA	chr1	-	OTUD7B	8	149941261,149941180,149937817,149940331,149942012,149937753,149941092,149943076	35,16,15,10,10,7,5,5	30.97,14.16,13.27,8.85,8.85,6.19,4.42,4.42	32.79,11.48,13.11,9.84,6.56,4.92,3.28,8.2	28.85,15.38,13.46,7.69,11.54,7.69,5.77,0	-3.94,3.9,0.35,-2.15,4.98,2.77,2.49,-8.2	0.350377183018709	no change
ENSG00000186493.14	ENSG00000186493	0.298088410991637	0.0145193234221476	Last_exon_tandem_APA	chr5	+	IRX2-DT	2	2755394,2754376	54,29	63.53,34.12	51.61,48.39	70.37,25.93	18.76,-22.46	0.0538357608058945	no change
ENSG00000196387.10	ENSG00000196387	0.148809523809524	0.0670955682648201	Last_exon_tandem_APA	chr12	+	ZNF140	4	133107428,133107540,133105961,133085580	129,16,13,3	77.25,9.58,7.78,1.8	79.37,7.94,7.94,1.59	75.96,10.58,7.69,1.92	-3.41,2.64,-0.25,0.33	0.161143980450066	no change
ENSG00000135631.17	ENSG00000135631	0.0789473684210526	0.448071023310807	Last_exon_tandem_APA	chr2	-	RAB11FIP5	2	73073381,73074582	54,3	94.74,5.26	89.47,10.53	97.37,2.63	7.9,-7.9	0.534542843210436	no change
ENSG00000173757.11	ENSG00000173757	0.135898942420682	0.0915953700617477	Last_exon_tandem_APA	chr17	-	STAT5B	4	42199176,42200458,42201619,42200211	189,33,25,13	71.86,12.55,9.51,4.94	65.54,15.54,11.49,4.73	76.52,8.7,6.96,5.22	10.98,-6.84,-4.53,0.49	0.198765927731827	no change
ENSG00000100234.12	ENSG00000100234	0.119630156472262	0.410184603116421	Last_exon_tandem_APA	chr22	+	TIMP3	3	32863041,32860569,32860951	232,112,39	59.64,28.79,10.03	52.63,31.58,15.79	60,28.11,7.84	7.37,-3.47,-7.95	0.507521667134091	no change
ENSG00000078804.13	ENSG00000078804	-0.133524668580019	0.225593002664086	Last_exon_tandem_APA	chr20	+	TP53INP2	2	34713434,34705469	288,4	96.64,1.34	85.19,3.7	95.94,1.11	10.75,-2.59	0.352633564525639	no change
ENSG00000197296.6	ENSG00000197296	0.407859078590786	0.00126186371320834	Last_exon_tandem_APA	chr20	-	FITM2	2	44302839,44306600	87,9	87,9	55.56,33.33	90.24,3.66	34.68,-29.67	0.00774591511266157	longer
ENSG00000278129.2	ENSG00000278129	0.19047619047619	0.0588604078290435	Last_exon_tandem_APA	chr19	+	ZNF8	5	58295872,58302789,58302301,58303605,58302039	48,27,24,23,3	36.09,20.3,18.05,17.29,2.26	34.29,18.57,25.71,10,2.86	31.75,20.63,9.52,20.63,1.59	-2.54,2.06,-16.19,10.63,-1.27	0.147585625537354	no change
ENSG00000170634.13	ENSG00000170634	0.371929824561404	0.00391364812210145	Last_exon_tandem_APA	chr2	+	ACYP2	3	54305144,53973764,54305026	50,21,4	60.98,25.61,4.88	40,44,4	68.42,17.54,5.26	28.42,-26.46,1.26	0.0194472222257266	longer
ENSG00000269713.9	ENSG00000269713	0.273834745762712	0.0107323396764338	Mixed_APA	chr1	-	NBPF9	6	149054137,149091358,149089718,149054032,149092965,149099299	102,22,10,6,3,3	68,14.67,6.67,4,2,2	46.88,25,12.5,6.25,3.12,6.25	72.88,11.86,5.08,3.39,1.69,0.85	26,-13.14,-7.42,-2.86,-1.43,-5.4	0.0429404293131869	longer
ENSG00000136051.15	ENSG00000136051	0.14895828178354	0.0444388202194191	Last_exon_tandem_APA	chr12	+	WASHC4	5	105169130,105148323,105168050,105167346,105168497	254,12,10,3,3	88.19,4.17,3.47,1.04,1.04	86.78,2.48,3.31,0,0.83	86.23,5.39,2.99,1.2,1.2	-0.55,2.91,-0.32,1.2,0.37	0.121089454378872	no change
ENSG00000055609.21	ENSG00000055609	0.20457444869692	0.0214236342236221	Mixed_APA	chr7	-	KMT2C	5	152134924,152135153,152135367,152244101,152160959	149,52,12,7,3	62.34,21.76,5.02,2.93,1.26	46.77,35.48,6.45,0,1.61	67.23,16.38,4.52,3.39,1.13	20.46,-19.1,-1.93,3.39,-0.48	0.0722876956799309	no change
ENSG00000138686.10	ENSG00000138686	0.313376734092847	1.68630693186955e-07	Mixed_APA	chr4	-	BBS7	10	121861489,121827726,121824484,121824758,121861213,121824439,121859791,121858839,121859257,121861383	100,88,32,26,16,12,12,7,7,5	30.77,27.08,9.85,8,4.92,3.69,3.69,2.15,2.15,1.54	40.58,17.39,5.07,9.42,7.25,0.72,5.07,2.9,2.17,2.9	23.53,34.22,13.37,6.95,3.21,5.88,2.14,0.53,2.14,0.53	-17.05,16.83,8.3,-2.47,-4.04,5.16,-2.93,-2.37,-0.03,-2.37	3.05333522734288e-06	longer
ENSG00000179832.18	ENSG00000179832	0.142156862745098	0.155667217206228	Last_exon_tandem_APA	chr8	+	MROH1	3	144261926,144213465,144251357	89,13,5	74.79,10.92,4.2	70.59,11.76,5.88	77.94,10.29,0	7.35,-1.47,-5.88	0.279331861941943	no change
ENSG00000113597.18	ENSG00000113597	0.171607462305137	0.0364652113640807	Last_exon_tandem_APA	chr5	+	TRAPPC13	6	65664764,65666069,65665927,65666120,65666233,65666173	79,52,20,10,7,3	44.63,29.38,11.3,5.65,3.95,1.69	52.33,24.42,9.3,4.65,4.65,2.33	37.36,34.07,13.19,6.59,3.3,0	-14.97,9.65,3.89,1.94,-1.35,-2.33	0.105412925494816	no change
ENSG00000154556.20	ENSG00000154556	0.571348314606742	0	Mixed_APA	chr4	-	SORBS2	4	185585522,185586802,185639961,185646587	314,39,38,7	72.02,8.94,8.72,1.61	26.25,7.5,33.75,7.5	81.18,9.27,3.09,0.28	54.93,1.77,-30.66,-7.22	0	longer
ENSG00000136997.22	ENSG00000136997	0.0595562829605384	0.40365507406179	Last_exon_tandem_APA	chr8	+	MYC	4	127741428,127741274,127742951,127742647	427,65,13,6	82.75,12.6,2.52,1.16	84.62,12.82,0.43,0	79.43,10.64,3.9,2.13	-5.19,-2.18,3.47,2.13	0.503377629311957	no change
ENSG00000124177.16	ENSG00000124177	0.223224728487886	0.00183520963438866	Mixed_APA	chr20	-	CHD6	10	41402598,41402094,41402215,41402287,41496819,41403035,41404521,41402674,41404572,41454549	148,74,10,10,5,4,4,3,3,3	52.11,26.06,3.52,3.52,1.76,1.41,1.41,1.06,1.06,1.06	33.68,16.84,0,2.11,3.16,2.11,3.16,0,2.11,1.05	27.51,30.69,5.29,4.23,1.06,1.06,0.53,1.59,0.53,1.06	-6.17,13.85,5.29,2.12,-2.1,-1.05,-2.63,1.59,-1.58,0.01	0.0105124452577107	longer
ENSG00000172785.19	ENSG00000172785	0.171165240289664	0.00627261042503757	Mixed_APA	chr9	-	ZNG1A	5	121410,121041,173119,121088,172901	219,50,33,33,6	62.39,14.25,9.4,9.4,1.71	66.84,8.16,12.24,7.65,1.02	55.48,20,5.81,11.61,2.58	-11.36,11.84,-6.43,3.96,1.56	0.0285464613835378	longer
ENSG00000234456.10	ENSG00000234456	0.218133154901305	0.0135545560507853	Last_exon_tandem_APA	chr7	+	MAGI2-AS3	10	79471197,79462991,79460589,79467470,79463581,79460758,79463937,79460817,79460507,79460634	64,57,34,23,14,10,8,6,3,3	27.59,24.57,14.66,9.91,6.03,4.31,3.45,2.59,1.29,1.29	16.33,28.57,18.37,4.08,6.12,6.12,4.08,2.04,0,2.04	29.51,20.77,12.57,11.48,6.01,3.28,3.28,2.73,1.64,0.55	13.18,-7.8,-5.8,7.4,-0.11,-2.84,-0.8,0.69,1.64,-1.49	0.0511221500004262	no change
ENSG00000123810.9	ENSG00000123810	0.0830241187384044	0.461372675510885	Mixed_APA	chr19	-	B9D2	2	41354420,41361009	86,4	92.47,4.3	90.91,4.55	93.88,4.08	2.97,-0.47	0.544796313728179	no change
ENSG00000102910.14	ENSG00000102910	0.243661202185792	0.000462741790838161	Mixed_APA	chr16	+	LONP2	9	48355504,48352002,48353110,48353187,48353977,48362591,48357028,48362998,48348010	100,81,25,18,17,7,5,4,3	35.34,28.62,8.83,6.36,6.01,2.47,1.77,1.41,1.06	28,38,3,5,7,0,0,0,2	39.34,19.67,6.01,6.56,5.46,3.83,2.73,2.19,0.55	11.34,-18.33,3.01,1.56,-1.54,3.83,2.73,2.19,-1.45	0.00340491690576665	longer
ENSG00000105767.3	ENSG00000105767	0.137394625308556	0.179526434164315	Last_exon_tandem_APA	chr19	-	CADM4	4	43622367,43624837,43622548,43623019	319,65,48,5	67.58,13.77,10.17,1.06	58.82,13.73,11.76,1.96	68.17,13.78,9.98,0.71	9.35,0.05,-1.78,-1.25	0.306657220034598	no change
ENSG00000102384.14	ENSG00000102384	0.292328042328042	0.00164727140566317	Last_exon_tandem_APA	chrX	+	CENPI	10	101166023,101163678,101164822,101102407,101166126,101148113,101169899,101162986,101148254,101122597	42,37,16,13,12,7,6,5,4,3	26.75,23.57,10.19,8.28,7.64,4.46,3.82,3.18,2.55,1.91	24.07,22.22,6.48,12.04,7.41,6.48,1.85,3.7,3.7,2.78	28.57,26.53,18.37,0,8.16,0,8.16,2.04,0,0	4.5,4.31,11.89,-12.04,0.75,-6.48,6.31,-1.66,-3.7,-2.78	0.0096639865856191	longer
ENSG00000151502.11	ENSG00000151502	0.120125675358233	0.0304539623163179	Last_exon_tandem_APA	chr11	+	VPS26B	2	134247792,134245732	453,97	80.46,17.23	60.23,18.75	69.77,14.73	9.54,-4.02	0.0927428788103367	no change
ENSG00000241058.4	ENSG00000241058	0.309403437815976	0.00164801206576715	Mixed_APA	chr10	-	NSUN6	6	18545560,18545893,18545677,18654977,18511374,18585818	80,9,5,4,3,3	71.43,8.04,4.46,3.57,2.68,2.68	65.22,10.14,7.25,2.9,2.9,2.9	76.74,4.65,0,4.65,2.33,2.33	11.52,-5.49,-7.25,1.75,-0.57,-0.57	0.0096639865856191	longer
ENSG00000143951.16	ENSG00000143951	0.215384615384615	0.215732752618854	Mixed_APA	chr2	-	WDPCP	5	63119515,63121832,63119558,63121870,63438466	26,19,4,3,3	38.81,28.36,5.97,4.48,4.48	36.54,32.69,3.85,5.77,5.77	46.67,13.33,13.33,0,0	10.13,-19.36,9.48,-5.77,-5.77	0.343121074729069	no change
ENSG00000214756.8	ENSG00000214756	0.467941176470588	4.51949588864409e-12	Mixed_APA	chr11	+	CSKMT	4	62665574,62665711,62667071,62668100	155,71,50,3	54.39,24.91,17.54,1.05	67,13,15.5,0.5	21.18,50.59,21.18,2.35	-45.82,37.59,5.68,1.85	1.9743176457237e-10	longer
ENSG00000226889.4	ENSG00000226889	-0.132867132867133	0.659042106545135	Mixed_APA	chr1	-	ATF6-DT	3	161749412,161748539,161761877	11,9,3	45.83,37.5,12.5	46.15,38.46,15.38	45.45,36.36,9.09	-0.7,-2.1,-6.29	0.69001976926116	no change
ENSG00000187535.14	ENSG00000187535	0.159037683627848	0.0896781176668401	Mixed_APA	chr16	-	IFT140	4	1510426,1552950,1536602,1553538	106,6,4,4	76.81,4.35,2.9,2.9	67.21,3.28,3.28,4.92	83.12,5.19,2.6,1.3	15.91,1.91,-0.68,-3.62	0.196210401381934	no change
ENSG00000075539.15	ENSG00000075539	0.157763061074319	0.0912364325106422	Last_exon_tandem_APA	chr4	-	FRYL	4	48497566,48498467,48497364,48498287	94,48,30,4	47.96,24.49,15.31,2.04	35.56,28.89,11.11,2.22	45.7,22.52,16.56,1.99	10.14,-6.37,5.45,-0.23	0.198318032889679	no change
ENSG00000171045.16	ENSG00000171045	0.304761904761905	0.0129663807877691	Mixed_APA	chr8	-	TSNARE1	4	142270488,142269462,142299867,142300061	49,15,8,4	59.04,18.07,9.64,4.82	52.08,10.42,16.67,6.25	68.57,25.71,0,2.86	16.49,15.29,-16.67,-3.39	0.0494853993861281	longer
ENSG00000226688.9	ENSG00000226688	-0.172473867595819	0.219237264151625	Mixed_APA	chr10	-	ENTPD1-AS1	3	95873036,95872996,95873742	39,11,6	56.52,15.94,8.7	53.66,17.07,9.76	60.71,14.29,7.14	7.05,-2.78,-2.62	0.34677829645792	no change
ENSG00000147996.17	ENSG00000147996	0.108409581577054	0.194180651028994	Last_exon_tandem_APA	chr9	+	ZNG1E	7	65733672,65681820,65734041,65733994,65682549,65682033,65682438	123,102,22,11,9,3,3	44.09,36.56,7.89,3.94,3.23,1.08,1.08	43.66,41.55,7.04,1.41,2.11,0.7,0	42.34,31.39,8.03,6.57,3.65,1.46,2.19	-1.32,-10.16,0.99,5.16,1.54,0.76,2.19	0.320512046700279	no change
ENSG00000259153.4	ENSG00000259153	0.164877757901014	0.0568242405360744	Last_exon_tandem_APA	chr14	+	MAP3K9-DT	3	70815396,70816048,70816091	110,46,3	67.07,28.05,1.83	67.44,22.09,2.33	58.97,33.33,1.28	-8.47,11.24,-1.05	0.14428519968208	no change
ENSG00000122642.11	ENSG00000122642	0.114579574160953	0.265073650062415	Last_exon_tandem_APA	chr7	+	FKBP9	4	33006928,33005669,32994789,32995319	178,6,3,3	90.36,3.05,1.52,1.52	79.41,2.94,0,0	74.85,3.07,1.84,1.84	-4.56,0.13,1.84,1.84	0.390131568314257	no change
ENSG00000167037.19	ENSG00000167037	0.56969696969697	0.00530354018037421	Mixed_APA	chr22	+	SGSM1	2	24814192,24926846	16,8	61.54,30.77	73.33,6.67	36.36,63.64	-36.97,56.97	0.0247611421485813	longer
ENSG00000111554.15	ENSG00000111554	-0.127005347593583	0.33291138214808	Mixed_APA	chr12	-	MDM1	3	68294566,68325103,68325004	64,6,5	82.05,7.69,6.41	77.27,9.09,9.09	88.24,5.88,2.94	10.97,-3.21,-6.15	0.448752176145982	no change
ENSG00000232593.8	ENSG00000232593	-0.269565217391304	0.0788611864339683	Last_exon_tandem_APA	chrX	+	KANTR	3	53170911,53127438,53168536	34,16,8	51.52,24.24,12.12	35,0,40	56.52,34.78,0	21.52,34.78,-40	0.179709247080091	no change
ENSG00000206562.12	ENSG00000206562	0.0844592300902981	0.425621193003166	Mixed_APA	chr3	-	METTL6	7	15410103,15411343,15413670,15381274,15383376,15408391,15409892	103,49,49,13,8,5,3	41.87,19.92,19.92,5.28,3.25,2.03,1.22	39.81,17.48,21.36,1.94,3.88,0.97,0.97	36.36,19.58,18.18,7.69,2.8,2.8,1.4	-3.45,2.1,-3.18,5.75,-1.08,1.83,0.43	0.518851952836019	no change
ENSG00000136122.18	ENSG00000136122	-0.120145190562613	0.305137181164776	Last_exon_tandem_APA	chr13	+	BORA	3	72756196,72755449,72755708	64,52,3	51.61,41.94,2.42	53.68,38.95,2.11	44.83,51.72,3.45	-8.85,12.77,1.34	0.426275944660135	no change
ENSG00000197744.5	ENSG00000197744	0.228571428571429	0.0369616610134649	Last_exon_tandem_APA	chr5	+	PTMAP2	2	118974820,118974767	44,4	86.27,7.84	80,11.43	100,0	20,-11.43	0.106505919775911	no change
ENSG00000138286.15	ENSG00000138286	0.224242424242424	0.0163301143875494	Mixed_APA	chr10	+	FAM149B1	4	73235452,73242181,73231294,73230159	69,28,23,4	48.94,19.86,16.31,2.84	32,10.67,16,5.33	33.33,27.27,16.67,0	1.33,16.6,0.67,-5.33	0.0593276945391833	no change
ENSG00000110315.7	ENSG00000110315	0.166200466200466	0.0180072511713311	Last_exon_tandem_APA	chr11	-	RNF141	7	10511932,10514743,10511736,10513555,10511672,10512141,10511847	146,101,12,8,7,4,3	49.49,34.24,4.07,2.71,2.37,1.36,1.02	42.42,38.79,3.03,2.42,2.42,1.21,0.61	58.46,28.46,2.31,3.08,2.31,1.54,1.54	16.04,-10.33,-0.72,0.66,-0.11,0.33,0.93	0.0634484155406454	no change
ENSG00000125741.6	ENSG00000125741	0.208894878706199	0.0119233915807025	Mixed_APA	chr19	-	OPA3	8	45549152,45546280,45527766,45553207,45553069,45526808,45548773,45551359	103,25,21,7,4,3,3,3	58.52,14.2,11.93,3.98,2.27,1.7,1.7,1.7	54.72,7.55,14.15,5.66,1.89,2.83,0.94,1.89	54.29,24.29,8.57,1.43,1.43,0,2.86,1.43	-0.43,16.74,-5.58,-4.23,-0.46,-2.83,1.92,-0.46	0.0463492876175992	longer
ENSG00000115841.21	ENSG00000115841	0.197860962566845	0.372018861721379	Mixed_APA	chr2	+	RMDN2	2	38017542,38017744	13,9	46.43,32.14	47.06,29.41	45.45,36.36	-1.61,6.95	0.479845076930003	no change
ENSG00000253626.4	ENSG00000253626	-0.308333333333333	0.131393131585123	Last_exon_tandem_APA	chr10	+	EIF5AL1	4	79513753,79513676,79513572,79513427	18,5,4,3	46.15,12.82,10.26,7.69	45.83,12.5,8.33,4.17	33.33,0,0,13.33	-12.5,-12.5,-8.33,9.16	0.251308563471738	no change
ENSG00000225697.13	ENSG00000225697	0.035588828102505	0.847582043987207	Last_exon_tandem_APA	chr3	-	SLC26A6	2	48625722,48625784	261,4	98.12,1.5	96.69,1.99	98.26,0	1.57,-1.99	0.852127227554561	no change
ENSG00000171533.12	ENSG00000171533	-0.204662004662005	0.0896367577923983	Mixed_APA	chr11	-	MAP6	4	75602864,75586917,75605245,75605289	556,122,29,14	74.63,16.38,3.89,1.88	46.67,33.33,6.67,6.67	73.43,15.52,3.78,1.68	26.76,-17.81,-2.89,-4.99	0.196167602960553	no change
ENSG00000008710.20	ENSG00000008710	0.0505376344086022	0.323232221181722	Mixed_APA	chr16	-	PKD1	4	2088707,2088747,2089256,2107733	193,3,3,3	92.34,1.44,1.44,1.44	90.74,3.7,1.85,0	92.9,0.65,1.29,1.94	2.16,-3.05,-0.56,1.94	0.440521998851175	no change
ENSG00000176454.15	ENSG00000176454	0.0482502822125463	0.685286389806582	Last_exon_tandem_APA	chr15	-	LPCAT4	2	34358917,34358612	369,4	96.6,1.05	97.44,0.85	96.23,0.75	-1.21,-0.1	0.710799011280478	no change
ENSG00000111271.15	ENSG00000111271	-0.111678004535147	0.328829909905006	Last_exon_tandem_APA	chr12	+	ACAD10	3	111757099,111746106,111749130	73,4,3	85.88,4.71,3.53	86.11,8.33,2.78	85.71,2.04,4.08	-0.4,-6.29,1.3	0.445444036403664	no change
ENSG00000121210.16	ENSG00000121210	0.239986759351208	0.00178752435981089	Last_exon_tandem_APA	chr4	+	TMEM131L	4	153636711,153636624,153637608,153636571	116,67,31,3	52.73,30.45,14.09,1.36	54.72,37.74,3.77,2.83	48.25,23.68,23.68,0	-6.47,-14.06,19.91,-2.83	0.0102719870459375	longer
ENSG00000143469.21	ENSG00000143469	0.433846153846154	0.000541515802469481	Last_exon_tandem_APA	chr1	+	SYT14	9	210170564,210171315,210170744,210170831,210162325,210162967,210164300,210162501,210163157	15,15,12,5,4,4,3,3,3	19.74,19.74,15.79,6.58,5.26,5.26,3.95,3.95,3.95	11.54,11.54,7.69,3.85,7.69,7.69,3.85,7.69,3.85	24,24,20,8,4,4,4,2,4	12.46,12.46,12.31,4.15,-3.69,-3.69,0.15,-5.69,0.15	0.00388914661326645	longer
ENSG00000164929.17	ENSG00000164929	0.316475095785441	0.0176747271776574	Last_exon_tandem_APA	chr8	+	BAALC	3	103230305,103228347,103229350	63,56,41	38.65,34.36,25.15	16.67,38.89,44.44	41.38,33.79,22.76	24.71,-5.1,-21.68	0.0625215683458093	no change
ENSG00000134698.11	ENSG00000134698	0.181325449618133	0.0961723574944193	Last_exon_tandem_APA	chr1	+	AGO4	6	35857890,35857667,35854928,35855427,35854510,35851750	73,35,9,7,6,4	52.14,25,6.43,5,4.29,2.86	41.46,26.83,12.2,4.88,0,4.88	56.57,24.24,4.04,5.05,6.06,2.02	15.11,-2.59,-8.16,0.17,6.06,-2.86	0.205266042690705	no change
ENSG00000156860.16	ENSG00000156860	0.123649616035403	0.136992705148945	Last_exon_tandem_APA	chr16	+	FBRS	2	30670810,30670197	218,13	92.37,5.51	82.05,10.26	93.91,4.57	11.86,-5.69	0.257315248097549	no change
ENSG00000155636.15	ENSG00000155636	0.103544404619673	0.217520474655683	Mixed_APA	chr2	+	RBM45	2	178129656,178139011	123,5	86.01,3.5	91.94,0	81.48,6.17	-10.46,6.17	0.344624428068045	no change
ENSG00000158201.10	ENSG00000158201	0.196153846153846	0.04284721533721	Mixed_APA	chr18	-	ABHD3	3	21650900,21654888,21663992	87,10,5	77.68,8.93,4.46	67.31,15.38,3.85	86.67,3.33,5	19.36,-12.05,1.15	0.117987175893376	no change
ENSG00000112146.17	ENSG00000112146	0.12350210514952	0.0362295414955753	Last_exon_tandem_APA	chr6	+	FBXO9	3	53098373,53097904,53100873	409,61,26	80.04,11.94,5.09	68.79,17.83,1.91	76.55,8.47,6.5	7.76,-9.36,4.59	0.105001495625985	no change
ENSG00000064763.12	ENSG00000064763	0.286209286209286	0.000276752598154517	Mixed_APA	chr12	+	FAR2	4	29335616,29334073,29341130,29337356	117,62,7,5	57.92,30.69,3.47,2.48	46.15,38.46,2.2,0	66.67,22.52,2.7,4.5	20.52,-15.94,0.5,4.5	0.00219945798858753	longer
ENSG00000150977.11	ENSG00000150977	0.265151515151515	0.060150958153129	Last_exon_tandem_APA	chr12	-	RILPL2	2	123415388,123415438	47,3	88.68,5.66	87.88,6.06	90,5	2.12,-1.06	0.149658272301817	no change
ENSG00000006459.11	ENSG00000006459	0.261836441893831	0.0421897202477982	Last_exon_tandem_APA	chr7	-	KDM7A	4	140084745,140084854,140090215,140084678	31,17,16,6	41.33,22.67,21.33,8	17.65,23.53,29.41,11.76	48.78,21.95,14.63,4.88	31.13,-1.58,-14.78,-6.88	0.116836781661246	no change
ENSG00000115504.15	ENSG00000115504	0.121799516908213	0.15000858608224	Last_exon_tandem_APA	chr2	+	EHBP1	4	63046487,62707162,63046035,62790828	236,5,4,3	91.12,1.93,1.54,1.16	81.74,3.48,1.74,2.61	91.67,0.69,1.39,0	9.93,-2.79,-0.35,-2.61	0.272217637861279	no change
ENSG00000125354.24	ENSG00000125354	0.642549757934373	0	Mixed_APA	chrX	-	SEPTIN6	3	119615723,119619320,119616944	468,104,58	73.24,16.28,9.08	22.73,59.09,15.15	83.83,5.13,7.5	61.1,-53.96,-7.65	0	longer
ENSG00000018610.15	ENSG00000018610	0.1	0.290749235309986	Last_exon_tandem_APA	chrX	-	STEEP1	3	119538148,119538877,119539116	228,12,12	89.41,4.71,4.71	85.33,5.33,6	89.52,3.81,2.86	4.19,-1.52,-3.14	0.412585806002866	no change
ENSG00000141376.23	ENSG00000141376	0.0455712451861361	0.620209379103356	Mixed_APA	chr17	+	BCAS3	2	61084567,61392831	78,32	66.67,27.35	68.29,24.39	65.79,28.95	-2.5,4.56	0.658625499675294	no change
ENSG00000135452.10	ENSG00000135452	-0.0444784688995215	0.733824840815642	Last_exon_tandem_APA	chr12	+	TSPAN31	3	57748235,57747506,57750215	279,37,12	83.53,11.08,3.59	84,8.8,2.4	80.38,11.96,4.31	-3.62,3.16,1.91	0.751700596755829	no change
ENSG00000117643.15	ENSG00000117643	0.385579937304075	0.00192446732291727	Last_exon_tandem_APA	chr1	+	MAN1C1	2	25784450,25786207	39,11	76.47,21.57	89.66,6.9	59.09,40.91	-30.57,34.01	0.0109466430417791	longer
ENSG00000118058.24	ENSG00000118058	0.22913362701909	7.60725864300538e-05	Last_exon_tandem_APA	chr11	+	KMT2A	6	118526832,118525659,118523916,118449995,118526761,118523877	278,26,25,8,7,6	73.74,6.9,6.63,2.12,1.86,1.59	60.67,10.67,10,4,3.33,0.67	81.94,4.41,4.41,0.88,0.88,1.76	21.27,-6.26,-5.59,-3.12,-2.45,1.09	0.000730605341818627	longer
ENSG00000159110.22	ENSG00000159110	0.131756756756757	0.0836971236187037	Last_exon_tandem_APA	chr21	+	IFNAR2	3	33262757,33265664,33252803	112,27,8	72.73,17.53,5.19	76.25,12.5,6.25	66.22,22.97,4.05	-10.03,10.47,-2.2	0.187314204288663	no change
ENSG00000136273.13	ENSG00000136273	0.227420402858999	0.00856984434192762	Last_exon_tandem_APA	chr7	-	HUS1	5	47963350,47965162,47963287,47978317,47965108	48,47,42,6,3	30.57,29.94,26.75,3.82,1.91	27.16,30.86,19.75,4.94,3.7	34.21,18.42,34.21,2.63,0	7.05,-12.44,14.46,-2.31,-3.7	0.0362235928760012	longer
